Experiment,Story Index,True Label,Predicted Label,Correct,Label Space Size
8,50,casual,casual,True,15
8,27,ignorance,reported speech,False,15
8,57,auditory,free verse,False,15
8,87,futile,reported speech,False,15
9,10,word game,portrait,False,15
9,42,cross-examination,portrait,False,15
9,63,haiku,haiku,True,15
9,76,antiphrasis,portrait,False,15
9,90,portrait,portrait,True,15
9,31,passive,portrait,False,15
9,14,another subjectivity,portrait,False,15
9,85,gastronomical,word game,False,15
9,79,opera English,opera English,True,15
9,45,parechesis,spoonerisms,False,15
9,81,spoonerisms,cockney,False,15
9,24,onomatopoeia,onomatopoeia,True,15
9,2,litotes,portrait,False,15
9,41,cockney,cockney,True,15
9,83,medical,portrait,False,15
10,7,prognostication,portrait,False,15
10,28,past,portrait,False,15
10,42,cross-examination,portrait,False,15
10,47,philosophic,philosophic,True,15
10,94,precious,portrait,False,15
10,18,minimism,portrait,False,15
10,12,precision,mathematical,False,15
10,91,mathematical,mathematical,True,15
10,54,gustatory,gustatory,True,15
10,34,apheresis,minimism,False,15
10,74,rhyming slang,rhyming slang,True,15
10,14,another subjectivity,portrait,False,15
10,5,surprises,surprises,True,15
10,21,omeoptotes,rhyming slang,False,15
10,90,portrait,portrait,True,15
11,3,metaphorically,metaphorically,True,15
11,15,narrative,casual,False,15
11,47,philosophic,philosophic,True,15
11,50,casual,casual,True,15
11,88,modern style,casual,False,15
11,11,hesitation,hesitation,True,15
11,4,retrograde,narrative,False,15
11,82,botanical,botanical,True,15
11,69,paragoge,casual,False,15
11,24,onomatopoeia,onomatopoeia,True,15
11,74,rhyming slang,rhyming slang,True,15
11,9,the rainbow,botanical,False,15
11,2,litotes,narrative,False,15
11,14,another subjectivity,casual,False,15
11,78,more or less,narrative,False,15
12,7,prognostication,narrative,False,15
12,26,insistence,narrative,False,15
12,54,gustatory,gustatory,True,15
12,62,reactionary,for ze Frrensh,False,15
12,94,precious,for ze Frrensh,False,15
12,23,blurb,blurb,True,15
12,12,precision,precision,True,15
12,92,west indian,west indian,True,15
12,70,parts of speech,parts of speech,True,15
12,33,polyptotes,litotes,False,15
12,80,for ze Frrensh,west indian,False,15
12,15,narrative,narrative,True,15
12,2,litotes,narrative,False,15
12,24,onomatopoeia,onomatopoeia,True,15
12,87,futile,narrative,False,15
13,7,prognostication,prognostication,True,15
13,28,past,portrait,False,15
13,44,asides,synchysis,False,15
13,55,tactile,tactile,True,15
13,90,portrait,portrait,True,15
13,12,precision,precision,True,15
13,8,synchysis,synchysis,True,15
13,83,medical,portrait,False,15
13,60,O,O,True,15
13,38,exclamations,asides,False,15
13,65,feminine,portrait,False,15
13,9,the rainbow,synchysis,False,15
13,5,surprises,portrait,False,15
13,23,blurb,blurb,True,15
13,77,dog latin,synchysis,False,15
14,20,distinguo,polyptotes,False,15
14,43,comedy,comedy,True,15
14,50,casual,comedy,False,15
14,61,hellenisms,hellenisms,True,15
14,94,precious,portrait,False,15
14,26,insistence,portrait,False,15
14,21,omeoptotes,polyptotes,False,15
14,90,portrait,comedy,False,15
14,68,epenthesis,comedy,False,15
14,45,parechesis,polyptotes,False,15
14,73,proper names,proper names,True,15
14,25,logical analysis,comedy,False,15
14,7,prognostication,comedy,False,15
14,33,polyptotes,comedy,False,15
14,87,futile,comedy,False,15
15,15,narrative,gallicisms,False,15
15,52,sonnet,narrative,False,15
15,61,hellenisms,hellenisms,True,15
15,66,gallicisms,gallicisms,True,15
15,88,modern style,gallicisms,False,15
15,39,you know,you know,True,15
15,22,official letter,official letter,True,15
15,86,zoological,zoological,True,15
15,73,proper names,proper names,True,15
15,56,visual,visual,True,15
15,77,dog latin,narrative,False,15
15,32,alexandrines,alexandrines,True,15
15,1,double entry,modern style,False,15
15,45,parechesis,gallicisms,False,15
15,84,abusive,gallicisms,False,15
16,5,surprises,surprises,True,15
16,35,apocope,telegraphic,False,15
16,49,awkward,telegraphic,False,15
16,58,telegraphic,telegraphic,True,15
16,95,unexpected,surprises,False,15
16,19,anagrams,anagrams,True,15
16,10,word game,unexpected,False,15
16,89,probabilist,surprises,False,15
16,70,parts of speech,parts of speech,True,15
16,42,cross-examination,surprises,False,15
16,72,consequences,surprises,False,15
16,17,negativities,parts of speech,False,15
16,1,double entry,alexandrines,False,15
16,32,alexandrines,alexandrines,True,15
16,85,gastronomical,word game,False,15
17,30,reported speech,reported speech,True,15
17,53,olfactory,olfactory,True,15
17,76,antiphrasis,west indian,False,15
17,79,opera English,opera English,True,15
17,92,west indian,west indian,True,15
17,45,parechesis,word-composition,False,15
17,36,syncope,word-composition,False,15
17,87,futile,reactionary,False,15
17,80,for ze Frrensh,for ze Frrensh,True,15
17,62,reactionary,reactionary,True,15
17,82,botanical,botanical,True,15
17,39,you know,you know,True,15
17,16,word-composition,word-composition,True,15
17,49,awkward,reported speech,False,15
17,84,abusive,abusive,True,15
18,10,word game,portrait,False,15
18,42,cross-examination,cross-examination,True,15
18,57,auditory,onomatopoeia,False,15
18,73,proper names,proper names,True,15
18,91,mathematical,mathematical,True,15
18,28,past,portrait,False,15
18,20,distinguo,word game,False,15
18,90,portrait,botanical,False,15
18,77,dog latin,portrait,False,15
18,48,apostrophe,portrait,False,15
18,82,botanical,botanical,True,15
18,24,onomatopoeia,onomatopoeia,True,15
18,0,notation,portrait,False,15
18,30,reported speech,reported speech,True,15
18,87,futile,portrait,False,15
19,5,surprises,portrait,False,15
19,51,biased,portrait,False,15
19,57,auditory,auditory,True,15
19,63,haiku,haiku,True,15
19,91,mathematical,mathematical,True,15
19,21,omeoptotes,synchysis,False,15
19,8,synchysis,portrait,False,15
19,90,portrait,portrait,True,15
19,68,epenthesis,distinguo,False,15
19,53,olfactory,olfactory,True,15
19,73,proper names,portrait,False,15
19,20,distinguo,distinguo,True,15
19,4,retrograde,portrait,False,15
19,33,polyptotes,synchysis,False,15
19,85,gastronomical,portrait,False,15
20,4,retrograde,consequences,False,15
20,41,cockney,cockney,True,15
20,60,O,O,True,15
20,64,free verse,free verse,True,15
20,93,interjections,interjections,True,15
20,24,onomatopoeia,onomatopoeia,True,15
20,6,dream,dream,True,15
20,82,botanical,botanical,True,15
20,71,metathesis,metathesis,True,15
20,53,olfactory,olfactory,True,15
20,72,consequences,consequences,True,15
20,10,word game,consequences,False,15
20,0,notation,cockney,False,15
20,39,you know,you know,True,15
20,78,more or less,metathesis,False,15
